"filename", "language", "TypeScript", "XML", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\user-icon.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\vertical-ellipsis.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\public\svgs\writing-feather.svg", "XML", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 3, 1, 77
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\ArticlesList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 1, 130
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\Error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\FollowButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 3, 95
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 3, 137
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\Icons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 20, 1, 150
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\LoadMoreBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 3, 40
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\Loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\LoginPopup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 4, 1, 140
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\Message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\Notifications.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 1, 202
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\components\TopicList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\hooks\useDebounce.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\hooks\useLocalStorage.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\interfaces\global.d.ts", "TypeScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\article\Article.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 2, 2, 107
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\article\Edit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\article\publish\components\DetailsDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 1, 303
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\article\publish\components\Editor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 5, 2, 117
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\article\publish\components\ToolBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 3, 107
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\article\publish\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 2, 89
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\auth\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 5, 108
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\auth\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 4, 138
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\auth\components\StepsControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 1, 89
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\auth\components\TopicList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 2, 67
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\auth\components\TopicsSelectionStep.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 1, 104
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\auth\components\steps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 1, 71
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\auth\components\useMultistepForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 6, 1, 137
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\components\FeedSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 2, 50
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\components\TopicsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 39
